연번,광역시도,시군명,도서관명,우편번호,주소,홈페이지,전화번호,휴관일,개관년도,도서관구분,설립주체,팩스번호,LAT,LON
24,경상남도,진주시,비봉어린이도서관,52752,경상남도 진주시 향교로 86 (옥봉동),http://lib.jinju.go.kr,055-749-7494,"매월첫째주월요일, 법정공휴일",2009,공공도서관(어린이),지자체,055-749-2894,35.1977416471387,128.090518145761
25,경상남도,진주시,진주시어린이전문도서관,52699,경상남도 진주시 평거로 46,http://lib.jinju.go.kr,055-749-5984,"매월첫째주월요일, 법정공휴일",2006,공공도서관(어린이),지자체,055-749-5987,35.1742008121607,128.065315450121
26,경상남도,진주시,진주시혁신어린이도서관,52830,경상남도 진주시 동진로 415 (충무공동),https://lib.jinju.go.kr,055-749-7490,"매월첫째주월요일, 법정공휴일",2020,공공도서관(어린이),지자체,000-000-0000,35.182954176368,128.135850961178
27,경상남도,통영시,경상남도교육청 통영도서관,53077,경상남도 통영시 봉수로 37,http://tylib.gne.go.kr/,055-648-8093,"매주월요일, 법정공휴일",1963,공공도서관(일반),교육청,055-648-1608,34.8281341663687,128.415710918198
28,경상남도,통영시,통영시립도서관,53035,경상남도 통영시 무전3길 29 (무전동),https://www.tongyeonglib.or.kr/library/,055-650-2630,"매주월요일, 법정공휴일",2010,공공도서관(일반),지자체,055-650-2639,34.8615073029202,128.424711141462
29,경상남도,통영시,꿈이랑도서관,53084,경상남도 통영시 산양읍 둔전길 155,http://www.tongyeonglib.or.kr/library/,055-650-2500,"매주월요일, 법정공휴일",1997,공공도서관(일반),지자체,055-650-2509,34.8028688797004,128.39345068305
30,경상남도,통영시,통영시립욕지도서관,53100,경상남도 통영시 중촌길 203,http://www.tongyeonglib.or.kr/library/,055-650-4580,"매주월요일, 법정공휴일",2001,공공도서관(일반),지자체,055-650-2639,34.6367687589375,128.263359740385
31,경상남도,통영시,통영시립충무도서관,53017,경상남도 통영시 용남면 기호바깥길 7-87,http://www.tongyeonglib.or.kr/,055-650-2640,"매주월요일, 법정공휴일",2013,공공도서관(일반),지자체,055-650-2649,34.8734937119056,128.420603330822
32,경상남도,사천시,경상남도교육청 사천도서관,52518,경상남도 사천시 사천읍 평화2길 21,http://salib.gne.go.kr,055-853-8406,"매주월요일, 법정공휴일",1991,공공도서관(일반),교육청,055-855-7740,35.0834508733195,128.087387207977
33,경상남도,사천시,경상남도교육청 삼천포도서관,52553,경상남도 사천시 삼천포대교로 622,http://scplib.gne.go.kr,055-835-4436,"매주월요일, 법정공휴일",1990,공공도서관(일반),교육청,055-834-8928,34.9533209357601,128.077251818971
34,경상남도,사천시,사천시어린이도서관,52533,경상남도 사천시 사남면 조동길 49-30,http://elc.sacheon.go.kr/,055-831-2966,"매주월요일, 법정공휴일",2011,공공도서관(어린이),지자체,055-831-2969,35.0595331442291,128.066446473655
35,경상남도,김해시,경상남도교육청 김해도서관,50918,경상남도 김해시 가락로 93번길 72,http://ghlib.gne.go.kr,055-320-5564,"매주월요일, 법정공휴일",1985,공공도서관(일반),교육청,055-320-5574,35.2348125602377,128.881229441785
36,경상남도,김해시,경상남도교육청 김해지혜의바다도서관,50877,경상남도 김해시 주촌면 서부로1541번길 8,http://ghjhlib.gne.go.kr,055-330-9800,"매월둘째주월요일, 법정공휴일",2019,공공도서관(일반),교육청,055-330-9830,35.2361291435684,128.821868809375
37,경상남도,김해시,경상남도교육청 진영도서관,50864,경상남도 김해시 진영읍 진영로 265번길 9-61,http://jylib.gne.go.kr,055-343-8792,"매주월요일, 법정공휴일",1990,공공도서관(일반),교육청,055-343-8798,35.3047873283513,128.741406777731
38,경상남도,김해시,김해율하도서관,51016,경상남도 김해시 율하2로 210 (율하동),http://lib.gimhae.go.kr,055-340-7161,"매월마지막주월요일, 법정공휴일",2018,공공도서관(일반),지자체,055-336-9400,35.1726044698372,128.820944136217
39,경상남도,김해시,장유도서관,51004,경상남도 김해시 대청로176번길 7 (대청동),https://lib.gimhae.go.kr/jangyu.web,055-330-7461,"매월마지막주월요일, 법정공휴일",2002,공공도서관(일반),지자체,055-330-6783,35.1913540310428,128.7970325409
40,경상남도,김해시,진영한빛도서관,50864,경상남도 김해시 진영읍 김해대로 440,https://lib.gimhae.go.kr/hanvit.web,055-330-4831,"매월마지막주월요일, 법정공휴일",2009,공공도서관(일반),지자체,055-330-6786,35.3046782460098,128.736911161026
41,경상남도,김해시,칠암도서관,50817,경상남도 김해시 활천로285번길 14,http://lib.gimhae.go.kr/,055-330-4591,"매월마지막주월요일, 법정공휴일",1999,공공도서관(일반),지자체,055-330-2919,35.2445632844203,128.910444013417
42,경상남도,김해시,화정글샘도서관,50896,경상남도 김해시 삼계중앙로13번길 19 (삼계동),https://lib.gimhae.go.kr/hwajeong.web,055-330-2970,"매월마지막주월요일, 법정공휴일",2008,공공도서관(일반),지자체,055-330-2918,35.2621269787461,128.866265715715
43,경상남도,김해시,김해기적의도서관,51014,경상남도 김해시 율하1로 55 (율하동),https://lib.gimhae.go.kr/miracle.web,055-330-4651,"매월마지막주월요일, 법정공휴일",2011,공공도서관(어린이),지자체,055-330-6795,35.1756784342952,128.81033242756
44,경상남도,밀양시,경상남도교육청 밀양도서관,50467,경상남도 밀양시 삼랑진읍 만어로 7,http://mrlib.gne.go.kr,055-353-6970,"매주월요일, 법정공휴일",1973,공공도서관(일반),교육청,055-356-8048,35.4000907786003,128.8413801183
45,경상남도,밀양시,경상남도교육청 하남도서관,50460,경상남도 밀양시 하남읍 수산중앙로 63,http://hnlib.gne.go.kr,055-391-1848,"매주월요일, 법정공휴일",1994,공공도서관(일반),교육청,055-391-1838,35.3752591649365,128.712420859213
46,경상남도,밀양시,밀양시립도서관,50437,경상남도 밀양시 중앙로 265 (삼문동),http://www.myclib.or.kr,055-359-6026,"매주월요일, 법정공휴일",1982,공공도서관(일반),지자체,055-359-6032,35.4867908044795,128.754853499097
47,경상남도,밀양시,밀양시립영어도서관,50512,경상남도 밀양시 중앙로 265 (삼문동),https://eng.myclib.or.kr/,055-359-6045,"매주월요일, 법정공휴일",2014,공공도서관(일반),지자체,055-359-6032,35.4867908044795,128.754853499097
48,경상남도,거제시,거제시립수양도서관,53241,경상남도 거제시 제산로5길 26,https://lib.geoje.go.kr,055-639-3891,"매주월요일, 법정공휴일",2015,공공도서관(일반),지자체,055-639-3899,34.8879618142988,128.646222394593
49,경상남도,거제시,거제시립아주도서관,53310,경상남도 거제시 탑곡로 73 (아주동),https://lib.geoje.go.kr,055-639-7320,"매주월요일, 법정공휴일",2021,공공도서관(일반),지자체,055-639-3853,34.8620957047523,128.690621440577
50,경상남도,거제시,거제시립옥포도서관,53224,경상남도 거제시 진목로 20,https://lib.geoje.go.kr/,055-639-3881,"매주월요일, 법정공휴일",2010,공공도서관(일반),지자체,055-639-3889,34.8970437168386,128.687551628362
51,경상남도,거제시,거제시립장승포도서관,53318,경상남도 거제시 신부로 36 (장승포동),https://lib.geoje.go.kr,055-639-3871,"매주월요일, 법정공휴일",1994,공공도서관(일반),지자체,055-639-3879,34.8698448818689,128.731232163251
52,경상남도,거제시,거제시립장평도서관,53268,경상남도 거제시 장평3로 10,https://lib.geoje.go.kr/,055-639-3861,"매주월요일, 법정공휴일",2012,공공도서관(일반),지자체,055-639-3869,34.8894541652813,128.609412896676
53,경상남도,거제시,거제시립하청도서관,53204,경상남도 거제시 하청면 하청로 12-7,https://lib.geoje.go.kr/,055-639-3921,"매주월요일, 법정공휴일",2017,공공도서관(일반),지자체,055-639-3822,34.9553333504085,128.655197731546
54,경상남도,거제시,경상남도교육청 거제도서관,53257,경상남도 거제시 계룡로7길 2,http://gjlib.gne.go.kr,055-637-6311,"매주월요일, 법정공휴일",1976,공공도서관(일반),교육청,055-636-9213,34.878996638744,128.622896292008
55,경상남도,양산시,경상남도교육청 양산도서관,50604,경상남도 양산시 신주2길 24,http://yslib.gne.go.kr,055-385-7056,"매주월요일, 법정공휴일",1992,공공도서관(일반),교육청,055-385-7006,35.3367235868408,129.020592713522
56,경상남도,양산시,양산시립 서창도서관,50525,경상남도 양산시 삼호로 105 (삼호동),https://lib.yangsan.go.kr/ME/main.do,055-392-5880,"매주금요일, 법정공휴일",2020,공공도서관(일반),지자체,055-392-5899,35.4099173035212,129.174500864004
57,경상남도,양산시,양산시립 영어도서관,50512,경상남도 양산시 대평들1길 9-10 (소주동),https://englib.yangsan.go.kr/MC/main.do,055-392-5940,"매주금요일, 법정공휴일",2014,공공도서관(일반),지자체,055-392-5959,35.4143915123158,129.163962990534
58,경상남도,양산시,양산시립 웅상도서관,50520,경상남도 양산시 웅상대로 1009-2 (주진동),https://lib.yangsan.go.kr/MB/main.do,055-392-5950,"매주월요일, 법정공휴일",1999,공공도서관(일반),지자체,055-392-5959,35.3893629776056,129.155271938754
60,경상남도,양산시,양산시립 중앙도서관,50601,경상남도 양산시 물금읍 청룡로 11,http://lib.yangsan.go.kr/,055-392-5900,"매주금요일, 법정공휴일",2011,공공도서관(일반),지자체,055-392-5919,35.3252274942401,128.996510484888
61,경상남도,양산시,양산시립 상북어린이도서관,50557,경상남도 양산시 상북면 반회서7길 14-16,http://sblib.yangsan.go.kr,055-392-5936,"매주월요일, 법정공휴일",2017,공공도서관(어린이),지자체,055-392-5919,35.4159386584849,129.059600631129
62,경상남도,의령군,경상남도교육청 의령도서관,52143,경상남도 의령군 의령읍 의병로25길 9-8,http://urlib.gne.go.kr,055-572-0941,"매주월요일, 법정공휴일",1974,공공도서관(일반),교육청,055-573-0890,35.3197978478325,128.266728284555
63,경상남도,함안군,경상남도교육청 함안도서관,52043,경상남도 함안군 가야읍 함안대로 495,http://hmlib.gne.go.kr/,055-583-6919,"매주월요일, 법정공휴일",1990,공공도서관(일반),교육청,055-583-8266,35.2711565449939,128.408196609728
64,경상남도,함안군,함안군립칠원도서관,52017,경상남도 함안군 칠원읍 원서로 56,https://www.haman.go.kr/chirwonlib.web,055-580-3647,"매주월요일, 법정공휴일",2011,공공도서관(일반),지자체,055-580-3649,35.3048409841287,128.515431834085
65,경상남도,창녕군,경상남도교육청 남지도서관,50355,경상남도 창녕군 남지읍 낙동로 437,https://njlib.gne.go.kr,055-526-1490,"매주월요일, 법정공휴일",1993,공공도서관(일반),교육청,055-526-1473,35.3886319948983,128.472477187008
66,경상남도,창녕군,경상남도교육청 창녕도서관,50331,경상남도 창녕군 창녕읍 남창녕로 52,http://cnlib.gne.go.kr,055-532-9504,"매주월요일, 법정공휴일",1972,공공도서관(일반),교육청,055-532-9507,35.5357052227077,128.503374102407
67,경상남도,창녕군,창녕군 영산도서관,50348,경상남도 창녕군 영산면 원다리길 34,http://ysl.cng.go.kr/main/,055-530-1931,"매주월요일, 법정공휴일",2014,공공도서관(일반),지자체,055-530-1940,35.4527380510638,128.530514436354
68,경상남도,고성군,경상남도교육청 고성도서관,52937,경상남도 고성군 고성읍 동외로195번길 6,http://gslib.gne.go.kr,055-673-8437,"매주월요일, 법정공휴일",1990,공공도서관(일반),교육청,055-673-8464,34.9792524159274,128.326321995101
69,경상남도,고성군,고성동부도서관,52943,경상남도 고성군 회화면 관인로44번길 26-5,https://www.goseong.go.kr/gslib/index.goseong,055-670-2916,"매주월요일, 법정공휴일",2003,공공도서관(일반),지자체,055-670-2917,35.0572919915084,128.3726403177
70,경상남도,남해군,경상남도교육청 남해도서관,52427,경상남도 남해군 남해읍 화전로43번길 11-3,http://nhlib.gne.go.kr,055-864-0973,"매주월요일, 법정공휴일",1972,공공도서관(일반),교육청,055-864-2074,34.834368568586,127.894833590368
71,경상남도,남해군,화전도서관,52419,경상남도 남해군 망운로30번길 9,http://lib.namhae.go.kr,055-860-3864,"매주화요일, 법정공휴일",2009,공공도서관(일반),지자체,055-860-3879,34.8389186211718,127.890653819564
72,경상남도,하동군,경상남도교육청 하동도서관,52332,경상남도 하동군 하동읍 경서대로 80,http://hdlib.gne.go.kr,055-884-7981,"매주월요일, 법정공휴일",1985,공공도서관(일반),교육청,055-882-5958,35.0638641166812,127.744650299691
73,경상남도,산청군,경상남도교육청 산청도서관,52220,경상남도 산청군 산청읍 꽃봉산로79번길 45,http://sanlib.gne.go.kr,055-973-2547,"매주월요일, 법정공휴일",1984,공공도서관(일반),교육청,055-973-2711,35.4168475101449,127.876376324924
74,경상남도,산청군,경상남도교육청 산청지리산도서관,52249,경상남도 산청군 신안면 원지강변로 101,https://sjlib.gne.go.kr,055-974-1611,"매주월요일, 법정공휴일",2020,공공도서관(일반),교육청,055-974-1622,35.3011998890823,127.974393033579
75,경상남도,함양군,경상남도교육청 함양도서관,50036,경상남도 함양군 함양읍 함양로 1143-1,http://hylib.gne.go.kr,055-963-3186,"매주월요일, 법정공휴일",1963,공공도서관(일반),교육청,055-964-0810,35.5211339868927,127.72704954464
76,경상남도,거창군,거창군립한마음도서관,50130,경상남도 거창군 거창읍 거열로6길 11,http://library.geochang.go.kr/,055-940-8470,"매주금요일, 법정공휴일",2006,공공도서관(일반),지자체,055-940-8499,35.6891097309809,127.903766482454
77,경상남도,거창군,경상남도교육청 거창도서관,50133,경상남도 거창군 거창읍 하동1길 9,http://gclib.gne.go.kr,055-944-8594,"매주월요일, 법정공휴일",1984,공공도서관(일반),교육청,055-943-6052,35.6873975240343,127.911717399588
78,경상남도,합천군,경상남도교육청 합천도서관,50238,경상남도 합천군 합천읍 동서로 152,http://hclib.gne.go.kr,055-932-0936,"매주월요일, 법정공휴일",1972,공공도서관(일반),교육청,055-932-3945,35.5640857479944,128.168594557681
